"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;1;2;"Paweł Piotr KLESZCZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"politolog";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska";"";3397;"20,28";"0,68";"Nie"
1;1;3;"Katarzyna Aneta GRZELAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"wyższy urzędnik samorządowy";"Zawidów";"022501";"m. Zawidów";"nie należy do partii politycznej";"";1330;"7,94";"0,27";"Nie"
1;1;4;"Jarosław KOWALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"inżynier budownictwa";"Bolesławiec";"020101";"m. Bolesławiec";"nie należy do partii politycznej";"";896;"5,35";"0,18";"Nie"
1;1;5;"Bartłomiej Błażej RODAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"rzecznik prasowy";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";495;"2,96";"0,10";"Nie"
1;1;6;"Mariusz KOZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"przedsiębiorca";"Trzęsów";"021603";"gm. Grębocice";"nie należy do partii politycznej";"";905;"5,40";"0,18";"Nie"
1;1;7;"Alicja SZKLARSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"emeryt";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";1058;"6,32";"0,21";"Nie"
1;1;8;"Tomasz MALCZEWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel";"Lwówek Śląski";"021203";"gm. Lwówek Śląski";"nie należy do partii politycznej";"";394;"2,35";"0,08";"Nie"
1;1;9;"Adriana Stefania WOJDAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"specjalista administracji publicznej";"Bielawa Dolna";"022504";"gm. Pieńsk";"nie należy do partii politycznej";"";321;"1,92";"0,06";"Nie"
1;1;10;"Krzysztof Witold STRYNKOWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"specjalista ochrony środowiska";"Raczkowa";"020905";"gm. Legnickie Pole";"nie należy do partii politycznej";"";363;"2,17";"0,07";"Nie"
1;1;11;"Beata CASTAÑEDA TRUJILLO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"ekonomista";"Krotoszyce";"020903";"gm. Krotoszyce";"nie należy do partii politycznej";"";369;"2,20";"0,07";"Nie"
