"Nazwisko.i.imiona","Nazwa.komitetu","imie","nazwisko"
"Andrzej Mieczysław ADAMCZYK","PIS","Andrzej","ADAMCZYK"
"Piotr ADAMOWICZ","KO","Piotr","ADAMOWICZ"
"Adam ANDRUSZKIEWICZ","PIS","Adam","ANDRUSZKIEWICZ"
"Waldemar Franciszek ANDZEL","PIS","Waldemar","ANDZEL"
"Dorota Irvina ARCISZEWSKA-MIELEWCZYK","PIS","Dorota","ARCISZEWSKA-MIELEWCZYK"
"Jan Krzysztof ARDANOWSKI","PIS","Jan","ARDANOWSKI"
"Iwona Ewa ARENT","PIS","Iwona","ARENT"
"Bartosz Adam ARŁUKOWICZ","KO","Bartosz","ARŁUKOWICZ"
"Marek AST","PIS","Marek","AST"
"Urszula Danuta AUGUSTYN","KO","Urszula","AUGUSTYN"
"Piotr Mieczysław BABINETZ","PIS","Piotr","BABINETZ"
"Ryszard BARTOSIK","PIS","Ryszard","BARTOSIK"
"Władysław Teofil BARTOSZEWSKI","Trzecia Droga","Władysław","BARTOSZEWSKI"
"Barbara Halina BARTUŚ","PIS","Barbara","BARTUŚ"
"Paweł Jan BEJDA","Trzecia Droga","Paweł","BEJDA"
"Konrad Szczepan BERKOWICZ","Konfederacja","Konrad","BERKOWICZ"
"Sylwia Alina BIELAWSKA","KO","Sylwia","BIELAWSKA"
"Marek BIERNACKI","Trzecia Droga","Marek","BIERNACKI"
"Paweł Kazimierz BLIŹNIUK","KO","Paweł","BLIŹNIUK"
"Mariusz BŁASZCZAK","PIS","Mariusz","BŁASZCZAK"
"Mateusz Andrzej BOCHENEK","KO","Mateusz","BOCHENEK"
"Rafał Paweł BOCHENEK","PIS","Rafał","BOCHENEK"
"Izabela Anna BODNAR","Trzecia Droga","Izabela","BODNAR"
"Jacek BOGUCKI","PIS","Jacek","BOGUCKI"
"Zbigniew BOGUCKI","PIS","Zbigniew","BOGUCKI"
"Krzysztof BOJARSKI","KO","Krzysztof","BOJARSKI"
"Joanna Beata BOROWIAK","PIS","Joanna","BOROWIAK"
"Kamil BORTNICZUK","PIS","Kamil","BORTNICZUK"
"Piotr BORYS","KO","Piotr","BORYS"
"Bożena Teresa BORYS-SZOPA","PIS","Bożena","BORYS-SZOPA"
"Marcin Rafał BOSACKI","KO","Marcin","BOSACKI"
"Karina Anna BOSAK","Konfederacja","Karina","BOSAK"
"Krzysztof BOSAK","Konfederacja","Krzysztof","BOSAK"
"Grzegorz Michał BRAUN","Konfederacja","Grzegorz","BRAUN"
"Krzysztof BREJZA","KO","Krzysztof","BREJZA"
"Agnieszka Maria BUCZYŃSKA","Trzecia Droga","Agnieszka","BUCZYŃSKA"
"Waldemar Grzegorz BUDA","PIS","Waldemar","BUDA"
"Borys Piotr BUDKA","KO","Borys","BUDKA"
"Elżbieta Jolanta BURKIEWICZ","Trzecia Droga","Elżbieta","BURKIEWICZ"
"Lidia Ewa BURZYŃSKA","PIS","Lidia","BURZYŃSKA"
"Marek Jan CHMIELEWSKI","KO","Marek","CHMIELEWSKI"
"Zbigniew Michał CHMIELOWIEC","PIS","Zbigniew","CHMIELOWIEC"
"Artur Henryk CHOJECKI","PIS","Artur","CHOJECKI"
"Kazimierz Bogusław CHOMA","PIS","Kazimierz","CHOMA"
"Dominika Małgorzata CHOROSIŃSKA","PIS","Dominika","CHOROSIŃSKA"
"Tadeusz CHRZAN","PIS","Tadeusz","CHRZAN"
"Alicja Paulina CHYBICKA","KO","Alicja","CHYBICKA"
"Anna Ewa CICHOLSKA","PIS","Anna","CICHOLSKA"
"Janusz Władysław CICHOŃ","KO","Janusz","CICHOŃ"
"Krzysztof Jan CIECIÓRA","PIS","Krzysztof","CIECIÓRA"
"Janusz Antoni CIESZYŃSKI","PIS","Janusz","CIESZYŃSKI"
"Michał CIEŚLAK","PIS","Michał","CIEŚLAK"
"Żaneta CWALINA-ŚLIWOWSKA","Trzecia Droga","Żaneta","CWALINA-ŚLIWOWSKA"
"Krzysztof Władysław CZARNECKI","PIS","Krzysztof","CZARNECKI"
"Witold Wojciech CZARNECKI","PIS","Witold","CZARNECKI"
"Przemysław CZARNEK","PIS","Przemysław","CZARNEK"
"Arkadiusz CZARTORYSKI","PIS","Arkadiusz","CZARTORYSKI"
"Włodzimierz CZARZASTY","Lewica","Włodzimierz","CZARZASTY"
"Jacek Andrzej CZERNIAK","Lewica","Jacek","CZERNIAK"
"Zofia CZERNOW","KO","Zofia","CZERNOW"
"Anita CZERWIŃSKA","PIS","Anita","CZERWIŃSKA"
"Katarzyna Beata CZOCHARA","PIS","Katarzyna","CZOCHARA"
"Sławomir ĆWIK","Trzecia Droga","Sławomir","ĆWIK"
"Władysław DAJCZAK","PIS","Władysław","DAJCZAK"
"Anna DĄBROWSKA-BANASZEK","PIS","Anna","DĄBROWSKA-BANASZEK"
"Zbigniew DOLATA","PIS","Zbigniew","DOLATA"
"Barbara DOLNIAK","KO","Barbara","DOLNIAK"
"Andrzej Jan DOMAŃSKI","KO","Andrzej","DOMAŃSKI"
"Bartłomiej DORYWALSKI","PIS","Bartłomiej","DORYWALSKI"
"Robert DOWHAN","KO","Robert","DOWHAN"
"Przemysław Mieczysław DRABEK","PIS","Przemysław","DRABEK"
"Elżbieta DUDA","PIS","Elżbieta","DUDA"
"Michał Paweł DWORCZYK","PIS","Michał","DWORCZYK"
"Adam DZIEDZIC","Trzecia Droga","Adam","DZIEDZIC"
"Jan Michał DZIEDZICZAK","PIS","Jan","DZIEDZICZAK"
"Agnieszka Ewa DZIEMIANOWICZ-BĄK","Lewica","Agnieszka","DZIEMIANOWICZ-BĄK"
"Magdalena FILIKS","KO","Magdalena","FILIKS"
"Magdalena FILIPEK-SOBCZAK","PIS","Magdalena","FILIPEK-SOBCZAK"
"Radosław Aleksander FOGIEL","PIS","Radosław","FOGIEL"
"Bronisław Edward FOLTYN","Konfederacja","Bronisław","FOLTYN"
"Roman Henryk FRITZ","Konfederacja","Roman","FRITZ"
"Joanna Zofia FRYDRYCH","KO","Joanna","FRYDRYCH"
"Konrad Mirosław FRYSZTAK","KO","Konrad","FRYSZTAK"
"Patryk GABRIEL","KO","Patryk","GABRIEL"
"Krzysztof Jan GADOWSKI","KO","Krzysztof","GADOWSKI"
"Aleksandra Małgorzata GAJEWSKA","KO","Aleksandra","GAJEWSKA"
"Kinga Magdalena GAJEWSKA","KO","Kinga","GAJEWSKA"
"Elżbieta Teresa GAPIŃSKA","KO","Elżbieta","GAPIŃSKA"
"Kamila GASIUK-PIHOWICZ","KO","Kamila","GASIUK-PIHOWICZ"
"Krzysztof Kamil GAWKOWSKI","Lewica","Krzysztof","GAWKOWSKI"
"Zdzisław GAWLIK","KO","Zdzisław","GAWLIK"
"Andrzej Janusz GAWRON","PIS","Andrzej","GAWRON"
"Grzegorz Krzysztof GAŻA","PIS","Grzegorz","GAŻA"
"Elżbieta Kazimiera GELERT","KO","Elżbieta","GELERT"
"Anna Urszula GEMBICKA","PIS","Anna","GEMBICKA"
"Artur Daniel GIERADA","KO","Artur","GIERADA"
"Roman Jacek GIERTYCH","KO","Roman","GIERTYCH"
"Włodzisław Sławomir GIZIŃSKI","KO","Włodzisław","GIZIŃSKI"
"Szymon Stanisław GIŻYŃSKI","PIS","Szymon","GIŻYŃSKI"
"Piotr Tadeusz GLIŃSKI","PIS","Piotr","GLIŃSKI"
"Tomasz Marian GŁOGOWSKI","KO","Tomasz","GŁOGOWSKI"
"Piotr Krzysztof GŁOWSKI","KO","Piotr","GŁOWSKI"
"Marta Joanna GOLBIK","KO","Marta","GOLBIK"
"Małgorzata Joanna GOLIŃSKA","PIS","Małgorzata","GOLIŃSKA"
"Kazimierz Edward GOŁOJUCH","PIS","Kazimierz","GOŁOJUCH"
"Adam Michał GOMOŁA","Trzecia Droga","Adam","GOMOŁA"
"Robert GONTARZ","PIS","Robert","GONTARZ"
"Stanisław Andrzej GORCZYCA","KO","Stanisław","GORCZYCA"
"Mariusz Marek GOSEK","PIS","Mariusz","GOSEK"
"Daria Iwona GOSEK-POPIOŁEK","Lewica","Daria","GOSEK-POPIOŁEK"
"Małgorzata Maria GOSIEWSKA","PIS","Małgorzata","GOSIEWSKA"
"Piotr Tadeusz GÓRNIKIEWICZ","Trzecia Droga","Piotr","GÓRNIKIEWICZ"
"Agnieszka Beata GÓRSKA","PIS","Agnieszka","GÓRSKA"
"Krzysztof GRABCZUK","KO","Krzysztof","GRABCZUK"
"Jan Stanisław GRABIEC","KO","Jan","GRABIEC"
"Marcin GRABOWSKI","PIS","Marcin","GRABOWSKI"
"Michał Sebastian GRAMATYKA","Trzecia Droga","Michał","GRAMATYKA"
"Małgorzata GROMADZKA","KO","Małgorzata","GROMADZKA"
"Marek Józef GRÓBARCZYK","PIS","Marek","GRÓBARCZYK"
"Andrzej Marian GRZYB","Trzecia Droga","Andrzej","GRZYB"
"Andrzej Józef GUT-MOSTOWY","PIS","Andrzej","GUT-MOSTOWY"
"Kazimierz GWIAZDOWSKI","PIS","Kazimierz","GWIAZDOWSKI"
"Marcin Piotr GWÓŹDŹ","PIS","Marcin","GWÓŹDŹ"
"Marek Krzysztof GZIK","KO","Marek","GZIK"
"Krzysztof Stefan HABURA","KO","Krzysztof","HABURA"
"Agnieszka Małgorzata HANAJCZYK","KO","Agnieszka","HANAJCZYK"
"Iwona HARTWICH","KO","Iwona","HARTWICH"
"Paulina HENNIG-KLOSKA","Trzecia Droga","Paulina","HENNIG-KLOSKA"
"Krzysztof Andrzej HETMAN","Trzecia Droga","Krzysztof","HETMAN"
"Czesław HOC","PIS","Czesław","HOC"
"Zbigniew Grzegorz HOFFMANN","PIS","Zbigniew","HOFFMANN"
