Nazwisko i imiona;Nazwa komitetu
Tadeusz SAMBORSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Arkadiusz SIKORA;KOMITET WYBORCZY NOWA LEWICA
Eløbieta Barbara WITEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marzena Anna MACHA£EK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Szymon Marek POGODA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof Jan KUB”W;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Wojciech Micha≥ ZUBOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Zofia CZERNOW;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Robert KROPIWNICKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr BORYS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona Ma≥gorzata KRAWCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
£ukasz HORBATOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksandra Maria LEO;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Marcin Piotr GW”èDè;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ Pawe≥ DWORCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Ireneusz ZYSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Monika WIELICHOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Izabela Katarzyna MRZYG£OCKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Jan CHMIELEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Sylwia Alina BIELAWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Franciszek ZIMOCH;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Izabela Anna BODNAR;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Jan åMISZEK;KOMITET WYBORCZY NOWA LEWICA
Miros≥awa Agnieszka STACHOWIAK-R”ØECKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Pawe≥ Marek HRENIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Agnieszka Anna SOIN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jacek åWIAT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof TUDUJ;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Alicja Paulina CHYBICKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ma≥gorzata Eløbieta TRACZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Micha≥ JAROS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Bogdan Andrzej ZDROJEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Anna Helena SOBOLAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jolanta Magdalena NIEZGODZKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Norbert Jerzy PIETRYKOWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Agnieszka Maria K£OPOTEK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Kamil GAWKOWSKI;KOMITET WYBORCZY NOWA LEWICA
Pawe≥ SZROT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
£ukasz Pawe≥ SCHREIBER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bartosz JÛzef KOWNACKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Piotr Marek KR”L;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Pawe≥ Bartosz OLSZEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
