Nazwisko i imiona;Nazwa komitetu
Tadeusz SAMBORSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Arkadiusz SIKORA;KOMITET WYBORCZY NOWA LEWICA
Elæbieta Barbara WITEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marzena Anna MACHAùEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Szymon Marek POGODA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krzysztof Jan KUB‡W;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Wojciech Michaà ZUBOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Zofia CZERNOW;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Robert KROPIWNICKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr BORYS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona Maàgorzata KRAWCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
ùukasz HORBATOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksandra Maria LEO;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Marcin Piotr GW‡çDç;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà Paweà DWORCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Ireneusz ZYSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Monika WIELICHOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Izabela Katarzyna MRZYGùOCKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Jan CHMIELEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Sylwia Alina BIELAWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Franciszek ZIMOCH;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Izabela Anna BODNAR;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Jan óMISZEK;KOMITET WYBORCZY NOWA LEWICA
Mirosàawa Agnieszka STACHOWIAK-R‡ΩECKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Paweà Marek HRENIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Agnieszka Anna SOIN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jacek óWIAT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krzysztof TUDUJ;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Alicja Paulina CHYBICKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maàgorzata Elæbieta TRACZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Michaà JAROS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Bogdan Andrzej ZDROJEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Anna Helena SOBOLAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jolanta Magdalena NIEZGODZKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Norbert Jerzy PIETRYKOWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Agnieszka Maria KùOPOTEK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Kamil GAWKOWSKI;KOMITET WYBORCZY NOWA LEWICA
Paweà SZROT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
ùukasz Paweà SCHREIBER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bartosz J¢zef KOWNACKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Piotr Marek KR‡L;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Paweà Bartosz OLSZEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona Maria KOZùOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof BREJZA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Wàodzisàaw Sàawomir GIZI„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona KAROLEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Zbigniew SOSNOWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Marcin Seweryn SKONIECZKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Joanna Izabela SCHEURING-WIELGUS;KOMITET WYBORCZY NOWA LEWICA
Krzysztof ùukasz SZCZUCKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Joanna Beata BOROWIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anna Urszula GEMBICKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jan Krzysztof ARDANOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Mariusz Piotr KAùUΩNY;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Przemysàaw Janusz WIPLER;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Arkadiusz MYRCHA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona HARTWICH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz J¢zef SZYMA„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krystian Marek ùUCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Joanna MUCHA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Andrzej HETMAN;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Jacek Andrzej CZERNIAK;KOMITET WYBORCZY NOWA LEWICA
Przemysàaw CZARNEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà MOSKAL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Magdalena FILIPEK-SOBCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Sylwester Karol TUùAJEW;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Artur SOBO„;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Sàawomir SKWAREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Kazimierz Bogusàaw CHOMA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
